timestamp,TotalUptime,Theta,PanelYpTemperature,PanelYmTemperature,PanelXpTemperature,PanelXmTemperature,BatteryGGTemperature,MCUTemp
2022-01-14T23:19:22Z,68463,34,2,-0.1,3.1,2.9,11.6,9.1
2022-01-16T12:42:25Z,283282,53,9,10.1,9.6,9.7,4.6,9.2
2022-01-16T17:36:57Z,303707,56,-23.8,-26.4,-23.6,-23.8,-3.6,-11.6
2022-01-16T17:37:57Z,303767,56,-24.9,-27.3,-24.6,-24.8,-4.2,-12.5
2022-01-16T19:06:17Z,309067,57,-17.9,-20.2,-17.5,-17.5,-0.1,-7.5
2022-01-16T19:08:17Z,309187,57,-20,-22.3,-19.8,-19.5,-1.3,-8.7
2022-01-16T19:10:17Z,309307,57,-21.9,-24.4,-21.7,-21.7,-3,-10.5
2022-01-16T19:11:17Z,309367,57,-22.9,-25.5,-22.8,-22.8,-3.6,-11.4
2022-01-16T19:12:17Z,309427,57,-23.9,-26.5,-23.7,-23.8,-4.2,-11.6
2022-01-16T20:42:20Z,314829,58,-18.9,-21.4,-18.6,-18.6,-0.1,-8.3
2022-01-16T20:43:20Z,314889,58,-19.8,-22.4,-19.6,-19.5,-0.7,-9
2022-01-16T20:44:19Z,314949,58,-20.8,-23.3,-20.6,-20.6,-1.9,-9.5
2022-01-16T20:45:20Z,315009,58,-21.8,-24.1,-21.5,-21.6,-1.9,-9.9
2022-01-17T06:35:09Z,350394,65,-12.8,-11.9,-12.1,-11.8,-7.7,-8.5
2022-01-17T06:37:09Z,350514,65,-10.1,-7.8,-9.7,-9.4,-6.5,-6.1
2022-01-17T06:38:09Z,350574,65,-8.7,-5.9,-7.7,-7.6,-6,-5.2
2022-01-17T08:08:14Z,355979,66,-15.2,-14.4,-14.8,-15.4,-8.3,-10.2
2022-01-17T08:10:15Z,356100,66,-13.3,-11.3,-11.6,-12.1,-7.7,-8.2
2022-01-17T08:11:15Z,356160,66,-11.4,-9.5,-10.8,-10.5,-7.1,-7.3
2022-01-17T08:12:15Z,356220,66,-9.2,-8.4,-9.2,-9.8,-6.5,-6.2
2022-01-17T08:13:15Z,356280,66,-7.8,-7.3,-7.7,-7.4,-6,-5.3
2022-01-17T08:14:15Z,356340,66,-6.9,-5.4,-5.9,-6.5,-5.4,-4.3
2022-01-17T13:52:03Z,374438,69,8.6,9.7,9.2,9.3,3.4,8.2
2022-01-17T17:25:03Z,389386,71,-24.2,-26.6,-23.9,-24.1,-4.2,-11.9
2022-01-17T18:54:22Z,394744,72,-18.8,-21.1,-18.4,-18.3,-0.7,-7.5
2022-01-17T18:55:22Z,394804,72,-19.8,-22.1,-19.3,-19.5,-1.3,-8.2
2022-01-17T18:56:22Z,394864,72,-20.6,-23.4,-20.4,-20.6,-1.9,-9.1
2022-01-17T18:57:22Z,394924,72,-21.8,-24.4,-21.6,-21.5,-2.4,-10.5
2022-01-17T18:58:22Z,394984,72,-23.1,-25.2,-22.7,-22.6,-3.6,-11.5
2022-01-17T18:59:22Z,395044,72,-23.9,-26.3,-23.6,-23.8,-4.2,-11.7
2022-01-17T19:00:22Z,395104,72,-24.8,-27.4,-24.6,-24.7,-4.8,-12.9
2022-01-17T20:31:30Z,400572,73,-20.7,-22.9,-20.2,-20.6,-1.9,-9.1
2022-01-17T20:32:30Z,400632,73,-21.5,-24.1,-21.3,-21.4,-2.4,-10.4
2022-01-17T20:33:30Z,400692,73,-22.6,-24.9,-22.4,-22.1,-3,-10.8
2022-01-17T20:34:30Z,400752,73,-23.7,-25.5,-23.2,-23.3,-3.6,-11.5
